Site,Treatment,Repetition,Nummer,mSoil_Olsen(g),mSoil_H2O(g),Abs_labile(1),Abs_Olsen(1),Abs_Olsen1_10(1),t(min),Abs(1),Pv_labile(mg/L),Pv_Olsen(mg/L),Pv_Olsen1_10(mg/L),Pv(mg/L),Dilution(1),V_H2O(L)
Oensingen,100P,1,4,NA,10.13,0.539,NA,NA,43,0.397,0.1543352517,,,0.09507241283,20.00,0.20
Oensingen,100P,1,4,NA,10.13,0.539,NA,NA,60,0.395,0.1543352517,,,0.09423772496,20.00,0.20
Oensingen,100P,2,5,NA,10.21,0.521,NA,NA,2,0.336,0.1468230608,,,0.06961443278,20.00,0.20
Oensingen,100P,2,5,NA,10.21,0.521,NA,NA,4,0.355,0.1468230608,,,0.07754396755,20.00,0.20
Oensingen,100P,2,5,NA,10.21,0.521,NA,NA,12,0.376,0.1468230608,,,0.08630819019,20.00,0.20
Oensingen,100P,2,5,NA,10.21,0.521,NA,NA,23,0.378,0.1468230608,,,0.08714287806,20.00,0.20
Oensingen,100P,2,5,NA,10.21,0.521,NA,NA,30,0.377,0.1468230608,,,0.08672553413,20.00,0.20
Oensingen,100P,2,5,NA,10.21,0.521,NA,NA,43,0.377,0.1468230608,,,0.08672553413,20.00,0.20
Oensingen,100P,2,5,NA,10.21,0.521,NA,NA,60,0.375,0.1468230608,,,0.08589084626,20.00,0.20
Ellinghausen,166P,3,6,NA,9.97,0.921,NA,NA,2,0.426,0.3137606349,,,0.107175387,20.00,0.20
Ellinghausen,166P,3,6,NA,9.97,0.921,NA,NA,4,0.47,0.3137606349,,,0.1255385201,20.00,0.20
Ellinghausen,166P,3,6,NA,9.97,0.921,NA,NA,12,0.554,0.3137606349,,,0.1605954107,20.00,0.20
Ellinghausen,166P,3,6,NA,9.97,0.921,NA,NA,23,0.606,0.3137606349,,,0.1822972953,20.00,0.20
Ellinghausen,166P,3,6,NA,9.97,0.921,NA,NA,30,0.633,0.3137606349,,,0.1935655816,20.00,0.20
Ellinghausen,166P,3,6,NA,9.97,0.921,NA,NA,43,0.655,0.3137606349,,,0.2027471481,20.00,0.20
Ellinghausen,166P,3,6,NA,9.97,0.921,NA,NA,60,0.674,0.3137606349,,,0.2106766829,20.00,0.20
Cadenazzo,166P,3,7,NA,10.26,0.703,NA,NA,2,0.334,0.222779657,,,0.06877974491,20.00,0.20
Cadenazzo,166P,3,7,NA,10.26,0.703,NA,NA,4,0.373,0.222779657,,,0.08505615839,20.00,0.20
Cadenazzo,166P,3,7,NA,10.26,0.703,NA,NA,12,0.459,0.222779657,,,0.1209477368,20.00,0.20
Cadenazzo,166P,3,7,NA,10.26,0.703,NA,NA,23,0.52,0.222779657,,,0.1464057169,20.00,0.20
Cadenazzo,166P,3,7,NA,10.26,0.703,NA,NA,30,0.535,0.222779657,,,0.1526658759,20.00,0.20
Cadenazzo,166P,3,7,NA,10.26,0.703,NA,NA,43,0.575,0.222779657,,,0.1693596333,20.00,0.20
Cadenazzo,166P,3,7,NA,10.26,0.703,NA,NA,60,0.6,0.222779657,,,0.1797932317,20.00,0.20
Cadenazzo,166P,4,8,NA,10.04,0.845,NA,NA,2,0.333,0.2820424959,,,0.06836240097,20.00,0.20
Cadenazzo,166P,4,8,NA,10.04,0.845,NA,NA,4,0.411,0.2820424959,,,0.1009152279,20.00,0.20
Cadenazzo,166P,4,8,NA,10.04,0.845,NA,NA,12,0.508,0.2820424959,,,0.1413975897,20.00,0.20
Cadenazzo,166P,4,8,NA,10.04,0.845,NA,NA,30,0.607,0.2820424959,,,0.1827146393,20.00,0.20
Cadenazzo,166P,4,8,NA,10.04,0.845,NA,NA,43,0.652,0.2820424959,,,0.2014951163,20.00,0.20
Cadenazzo,166P,4,8,NA,10.04,0.845,NA,NA,60,0.7,0.2820424959,,,0.2215276252,20.00,0.20
Ellinghausen,166P,4,9,,10.18,1.061,,,2,0.583,0.3585938486,-0.06550258762,-0.06550258762,0.1675306097,20.00,0.20
Ellinghausen,166P,4,9,,10.18,1.061,,,4,0.624,0.3585938486,,,0.1839188791,20.00,0.20
Ellinghausen,166P,4,9,,10.18,1.061,,,12,0.709,0.3585938486,,,0.2178945597,20.00,0.20
